field,prefix,name,createdWhen,references,uniqueness,keyKind,dbTable,dbPrimaryKey
userId,USR,Tài khoản,Social login đầu tiên,identity; mọi actor là userId,Một provider + providerSubject chỉ trỏ một user,,users,user_id
walletBindingId,WLT,Liên kết ví,Sau chứng minh quyền kiểm soát,userId; chainNamespace; walletAddress,Một địa chỉ đang active thuộc một user/namespace,,wallet_bindings,wallet_binding_id
roleAssignmentId,ROL,Quyền vai trò,Mời và chấp nhận/cấp quyền,userId; role; scope; validUntil,Không trùng role + scope đang active cho cùng user,,role_assignments,role_assignment_id
membershipId,MEM,Hồ sơ VIP,Lần đầu bắt đầu đăng ký plan,userId; planCode; các paymentId,"UNIQUE(userId, planCode)",,memberships,membership_id
paymentId,VPM,Khoản mua/gia hạn VIP,Tạo một đơn mua kỳ VIP,membershipId; payerUserId; externalPaymentRef/actionId,Một provider event/receipt chỉ thanh toán một payment; một payment cấp một kỳ,,vip_payments,payment_id
placeId,PLC,Địa điểm,Gửi đề xuất địa điểm mới,canonicalPlaceId nếu merged; sourceRevisionId,Không lấy tên/toạ độ làm PK; canonical không có chu trình,,places,place_id
postId,PST,Bài đóng góp,Lưu nháp bài đầu tiên,placeId; authorUserId; contributionType,Một bài có nhiều revision; author cố định,post,posts,post_id
revisionId,REV,Phiên bản nội dung,Công bố/gửi snapshot,postId; parentRevisionId; claimIds; contentHash,Snapshot bất biến; không sửa bytes đã freeze,revision,revisions,revision_id
claimId,CLM,Nhận định cần kiểm tra,Freeze từng nhận định của revision,revisionId; text; evidenceIds,Claim thuộc đúng một revision; bản mới có claim mới,claim,claims,claim_id
reviewCaseId,RVC,Vòng kiểm tra,Operator mở vòng review,revisionId; scopeClaimIds; previousCaseId,Một case có tối đa một decision kết thúc,,review_cases,review_case_id
taskId,TSK,Nhiệm vụ/một lần giao,Gửi offer cho một chuyên gia,reviewCaseId; assigneeUserId; reservationId,Một task một assignee cố định; đổi người tạo task mới,,tasks,task_id
reservationId,RSV,Cam kết ngân sách,Trước khi giao task,taskId; asset; amount,UNIQUE(taskId) trong baseline một mức công cố định,,reservations,reservation_id
submissionId,SUB,Lần nộp kết quả,Chuyên gia nộp hoặc bổ sung,taskId; evidenceIds; submittedByUserId,Không ghi đè bản nộp cũ,,submissions,submission_id
evidenceId,EVD,Bằng chứng,Nộp bằng chứng có quyền truy cập,ownerUserId; mediaId tùy loại; checksum,URL không là ID; file private kiểm quyền riêng,,evidence,evidence_id
